,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,SATELLITE,SMARTPHONE,TABLET,TEL,TEN,VEH,WATFP,YBL,GRPIP,HHL,HHLANP,HHT,HINCP,HUPAC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,PARTNER,PSF,R18,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL
12,3106,2,1.0,1,3,2,1.0,2.0,2.0,3.0,50.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1068.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3,36.0,1.0,9500.0,3.0,62000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,17.36,6.0,1.0,0.0
13,3103,2,1.0,1,3,7,1.0,2.0,2.0,3.0,150.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,1200.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,7,10.0,1.0,9500.0,1.0,165000.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,291.0,7.0,4.0,0.0
14,3103,1,3.0,1,2,6,1.0,2.0,2.0,3.0,90.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,330.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,5,85.0,1.0,9500.0,4.0,5920.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0.0,127.0,1.0,1.0,1.0
15,3105,2,1.0,1,2,4,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,960.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3,17.0,1.0,9500.0,5.0,75000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3,1,0.0,56.96,7.0,4.0,0.0
16,3102,4,1.0,1,3,2,1.0,2.0,2.0,3.0,100.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,780.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1,36.0,1.0,9500.0,3.0,33700.0,3.0,1,1.0,1.0,3.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,2,1,0.0,172.83,2.0,3.0,1.0
17,3102,1,1.0,1,2,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,450.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3,17.0,1.0,9500.0,4.0,41100.0,4.0,1,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,0.0,54.99,4.0,2.0,0.0
18,3103,1,1.0,1,2,9,1.0,2.0,2.0,3.0,140.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,5,2.0,840.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,10,45.0,1.0,9500.0,6.0,26100.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,91.0,3.0,3.0,1.0
19,3104,3,1.0,1,4,2,1.0,2.0,2.0,3.0,60.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1,7,2.0,1068.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,5,36.0,1.0,9500.0,1.0,181600.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,57.42,7.0,1.0,0.0
20,3103,4,1.0,1,3,2,1.0,2.0,2.0,3.0,230.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1,7,2.0,800.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,2,15.0,2.0,1200.0,1.0,86300.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,183.0,6.0,3.0,0.0
21,3105,2,3.0,1,2,9,1.0,2.0,2.0,3.0,200.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,700.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,7,95.0,2.0,1200.0,3.0,11400.0,2.0,1,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0.0,200.33,1.0,3.0,1.0
22,3102,1,3.0,1,1,6,1.0,2.0,2.0,3.0,270.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,800.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,3,36.0,1.0,9500.0,6.0,0.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,73.65,1.0,4.0,1.0
23,3107,3,1.0,1,4,2,1.0,2.0,2.0,3.0,170.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1800.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,20,21.0,4.0,2575.0,1.0,119000.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,31.94,7.0,5.0,0.0
24,3105,2,1.0,1,3,2,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,1300.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,7,19.0,1.0,9500.0,5.0,85000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2,1,0.0,210.15,7.0,4.0,0.0
25,3105,2,1.0,1,2,4,1.0,2.0,2.0,3.0,190.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,860.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1,12.0,1.0,9500.0,7.0,114700.0,4.0,1,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0.0,194.44,7.0,4.0,0.0
26,3104,4,1.0,1,3,7,1.0,2.0,2.0,2.0,114.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1700.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,6,26.0,4.0,2560.0,1.0,80000.0,3.0,1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,131.67,6.0,5.0,0.0
27,3103,1,1.0,1,2,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,3,2.0,1000.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,7,101.0,1.0,9500.0,4.0,10000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,62.0,1.0,4.0,1.0
30,3108,1,3.0,1,1,8,1.0,2.0,2.0,1.0,114.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,3,2.0,1300.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,5,87.0,1.0,9500.0,6.0,18000.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0.0,179.31,2.0,5.0,1.0
31,3104,2,1.0,1,2,3,1.0,2.0,2.0,3.0,80.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1,4,2.0,900.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,6,32.0,1.0,9500.0,3.0,40000.0,2.0,1,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,121.77,4.0,4.0,1.0
32,3101,2,1.0,1,2,9,1.0,2.0,2.0,3.0,120.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1900.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,7,81.0,1.0,9500.0,5.0,30000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0.0,66.0,3.0,7.0,1.0
34,3102,2,3.0,1,2,6,1.0,2.0,2.0,3.0,100.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1,4,2.0,500.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2,36.0,1.0,9500.0,1.0,20100.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,40.26,2.0,2.0,1.0
35,3108,1,1.0,1,1,9,1.0,2.0,2.0,1.0,114.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1,2,1.0,500.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,6,13.0,1.0,9500.0,6.0,45000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,39.99,5.0,2.0,0.0
37,3107,1,1.0,1,1,8,1.0,2.0,2.0,3.0,50.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,890.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,6,34.0,1.0,9500.0,6.0,35000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,31.43,4.0,4.0,1.0
38,3105,2,1.0,1,2,6,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,1400.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,7,20.0,1.0,9500.0,7.0,88000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0.0,53.03,7.0,5.0,0.0
39,3105,1,1.0,1,1,9,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,1100.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,11,33.0,1.0,9500.0,4.0,42600.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,42.23,5.0,5.0,1.0
40,3108,2,1.0,1,3,3,2.0,2.0,2.0,1.0,114.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1068.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,8,36.0,1.0,9500.0,1.0,73000.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,1,0.0,37.41,7.0,1.0,0.0
42,3106,4,1.0,1,4,2,1.0,2.0,1.0,3.0,120.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,10,2.0,1700.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,8,42.0,1.0,9500.0,1.0,56000.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,18.91,4.0,5.0,1.0
43,3104,1,3.0,1,5,2,1.0,2.0,2.0,3.0,30.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1,7,2.0,500.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1,36.0,1.0,9500.0,4.0,20000.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,396.99,2.0,1.0,1.0
44,3101,1,1.0,1,1,8,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,1000.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,18,12.0,1.0,9500.0,4.0,105000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,71.0,7.0,4.0,0.0
45,3101,2,1.0,1,1,8,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,520.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4,23.0,3.0,1500.0,1.0,29000.0,4.0,1,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,45.0,2.0,2.0,0.0
46,3105,4,1.0,1,2,3,1.0,2.0,2.0,3.0,50.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1,5,2.0,850.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,5,15.0,1.0,9500.0,3.0,78900.0,4.0,1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,0.0,100.16,6.0,3.0,0.0
47,3105,2,1.0,1,2,8,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1300.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,14,12.0,3.0,1440.0,1.0,145000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,212.11,7.0,5.0,0.0
48,3108,1,1.0,1,1,6,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1,3,2.0,800.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,7,23.0,1.0,9500.0,4.0,43000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,118.04,5.0,4.0,0.0
50,3105,1,1.0,1,1,6,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,2,2.0,870.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,5,23.0,3.0,1170.0,6.0,50000.0,4.0,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,43.21,5.0,4.0,0.0
51,3101,2,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1,6,2.0,1400.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,7,12.0,3.0,1210.0,1.0,159000.0,4.0,1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,150.0,7.0,4.0,0.0
52,3104,1,1.0,1,3,2,1.0,2.0,2.0,3.0,40.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,7,2.0,1500.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,8,101.0,1.0,9500.0,4.0,13500.0,4.0,1,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,106.92,1.0,5.0,1.0
53,3103,2,1.0,1,3,3,1.0,1.0,2.0,3.0,60.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,970.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,8,25.0,1.0,9500.0,5.0,52000.0,4.0,1,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0.0,104.0,5.0,3.0,0.0
55,3105,1,3.0,1,3,6,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,4,2.0,200.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,11,7.0,1.0,9500.0,4.0,48500.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,287.73,5.0,1.0,0.0
56,3101,1,1.0,1,0,9,1.0,2.0,2.0,1.0,114.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1,1,2.0,190.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,5,20.0,1.0,9500.0,6.0,11500.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,38.0,1.0,1.0,0.0
57,3106,1,1.0,1,0,7,1.0,2.0,2.0,3.0,60.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,1,2.0,890.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,8,23.0,1.0,9500.0,4.0,49500.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,17.98,5.0,4.0,0.0
58,3105,5,1.0,1,4,2,1.0,2.0,2.0,3.0,60.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1,7,2.0,900.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4,28.0,1.0,9500.0,5.0,50000.0,2.0,1,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2,1,0.0,242.55,4.0,3.0,0.0
59,3101,3,1.0,1,2,7,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,5,2.0,840.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,6,46.0,1.0,9500.0,3.0,24000.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,86.0,2.0,3.0,1.0
60,3107,1,1.0,1,2,7,1.0,2.0,2.0,3.0,140.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,4,2.0,1000.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,6,39.0,1.0,9500.0,4.0,36000.0,4.0,1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,127.26,4.0,4.0,1.0
61,3104,1,1.0,1,1,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,3,2.0,1400.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,20,18.0,1.0,9500.0,6.0,108000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,100.98,7.0,6.0,0.0
62,3101,3,1.0,1,3,9,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,6,2.0,2800.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,12,18.0,1.0,9500.0,7.0,196000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0.0,104.0,7.0,7.0,0.0
64,3106,2,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,6,2.0,1600.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,12,19.0,1.0,9500.0,7.0,106000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1,1,0.0,16.74,7.0,5.0,0.0
65,3101,1,1.0,1,1,9,1.0,2.0,2.0,3.0,70.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1,2,2.0,1200.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,8,101.0,3.0,1350.0,6.0,8000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,44.0,1.0,5.0,1.0
66,3105,4,1.0,1,2,6,1.0,2.0,2.0,1.0,114.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1,4,2.0,1200.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,5,13.0,4.0,2430.0,1.0,110000.0,2.0,1,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,52.05,7.0,4.0,0.0
67,3101,1,1.0,1,0,9,1.0,2.0,2.0,3.0,70.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,1,2.0,1100.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,12,40.0,1.0,9500.0,6.0,35000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,142.0,4.0,5.0,1.0
68,3101,1,1.0,1,0,9,1.0,2.0,2.0,3.0,40.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,1,2.0,1300.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,21,10.0,1.0,9500.0,4.0,160000.0,4.0,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,165.0,7.0,6.0,0.0
69,3105,1,1.0,1,2,8,1.0,2.0,2.0,3.0,80.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1,3,2.0,1400.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,18,88.0,1.0,9500.0,6.0,20400.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0.0,269.07,2.0,5.0,1.0
70,3103,4,1.0,1,4,7,1.0,2.0,2.0,3.0,150.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,7,2.0,2800.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,20,87.0,1.0,9500.0,5.0,41100.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,77.0,3.0,7.0,1.0
71,3107,3,1.0,1,1,6,1.0,2.0,2.0,3.0,90.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,5,2.0,950.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,14,16.0,4.0,1737.0,1.0,78000.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,0.0,83.15,6.0,4.0,0.0
72,3106,2,1.0,1,2,7,1.0,2.0,2.0,3.0,100.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,1100.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,9,18.0,1.0,9500.0,7.0,80700.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3,1,0.0,20.77,7.0,4.0,0.0
74,3102,3,1.0,1,3,2,1.0,2.0,2.0,3.0,100.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,590.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1,11.0,1.0,9500.0,2.0,91400.0,4.0,1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,63.83,7.0,2.0,0.0
76,3103,2,1.0,1,1,6,1.0,2.0,2.0,1.0,114.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1,3,2.0,900.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,8,27.0,3.0,1290.0,5.0,40000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1,0.0,44.0,4.0,4.0,0.0
77,3106,3,3.0,1,2,2,1.0,2.0,2.0,3.0,200.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1,5,2.0,500.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,8,101.0,1.0,9500.0,3.0,1500.0,2.0,1,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,0.0,93.31,1.0,2.0,1.0
78,3107,3,1.0,1,3,2,1.0,2.0,2.0,3.0,90.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1,5,2.0,1200.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,5,18.0,1.0,9500.0,2.0,94000.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,95.82,7.0,4.0,0.0
